chemin_complet,niveau1,niveau2,niveau3,dossier,nombre_images
Chili Growth Stage Augmented Dataset\Dry chili,Chili Growth Stage Augmented Dataset,Dry chili,,Dry chili,2000
Chili Growth Stage Augmented Dataset\Flower,Chili Growth Stage Augmented Dataset,Flower,,Flower,2000
Chili Growth Stage Augmented Dataset\Green Chili,Chili Growth Stage Augmented Dataset,Green Chili,,Green Chili,2000
Chili Growth Stage Augmented Dataset\Red Chili,Chili Growth Stage Augmented Dataset,Red Chili,,Red Chili,2000
Chili Growth Stage Augmented Dataset\Rotten Chili,Chili Growth Stage Augmented Dataset,Rotten Chili,,Rotten Chili,2000
Chili Leaf Disease Augmented Dataset\Bacterial Spot,Chili Leaf Disease Augmented Dataset,Bacterial Spot,,Bacterial Spot,2000
Chili Leaf Disease Augmented Dataset\Cercospora Leaf Spot,Chili Leaf Disease Augmented Dataset,Cercospora Leaf Spot,,Cercospora Leaf Spot,2000
Chili Leaf Disease Augmented Dataset\Curl Virus,Chili Leaf Disease Augmented Dataset,Curl Virus,,Curl Virus,2000
Chili Leaf Disease Augmented Dataset\Healthy Leaf,Chili Leaf Disease Augmented Dataset,Healthy Leaf,,Healthy Leaf,2000
Chili Leaf Disease Augmented Dataset\Nutrition Deficiency,Chili Leaf Disease Augmented Dataset,Nutrition Deficiency,,Nutrition Deficiency,2000
Chili Leaf Disease Augmented Dataset\White spot,Chili Leaf Disease Augmented Dataset,White spot,,White spot,2000
pest\aphids,pest,aphids,,aphids,300
pest\armyworm,pest,armyworm,,armyworm,300
pest\beetle,pest,beetle,,beetle,300
pest\bollworm,pest,bollworm,,bollworm,300
pest\grasshopper,pest,grasshopper,,grasshopper,300
pest\mites,pest,mites,,mites,300
pest\stem_borer,pest,stem_borer,,stem_borer,300
train\Adristyrannus,train,Adristyrannus,,Adristyrannus,186
train\Aleurocanthus spiniferus,train,Aleurocanthus spiniferus,,Aleurocanthus spiniferus,414
train\alfalfa plant bug,train,alfalfa plant bug,,alfalfa plant bug,393
train\alfalfa seed chalcid,train,alfalfa seed chalcid,,alfalfa seed chalcid,111
train\alfalfa weevil,train,alfalfa weevil,,alfalfa weevil,314
train\Ampelophaga,train,Ampelophaga,,Ampelophaga,458
train\aphids,train,aphids,,aphids,2456
train\Aphis citricola Vander Goot,train,Aphis citricola Vander Goot,,Aphis citricola Vander Goot,210
train\Apolygus lucorum,train,Apolygus lucorum,,Apolygus lucorum,228
train\army worm,train,army worm,,army worm,642
train\asiatic rice borer,train,asiatic rice borer,,asiatic rice borer,631
train\Bactrocera tsuneonis,train,Bactrocera tsuneonis,,Bactrocera tsuneonis,100
train\beet army worm,train,beet army worm,,beet army worm,962
train\beet fly,train,beet fly,,beet fly,62
train\Beet spot flies,train,Beet spot flies,,Beet spot flies,179
train\beet weevil,train,beet weevil,,beet weevil,184
