original_class_name,normalized_name,is_scientific_like,image_count
Adelphocoris lineolatus (Alfalfa plant bug),Adelphocoris lineolatus (Alfalfa plant bug),False,656
Aleurocanthus spiniferus (Orange spiny whitefly),Aleurocanthus spiniferus (Orange spiny whitefly),False,690
Ampelophaga spp. (Grape hornworm moth),Ampelophaga spp. (Grape hornworm moth),False,764
Anthracnose (Colletotrichum spp.),Anthracnose (Colletotrichum spp.),False,137
Aphididae (various species),Aphididae (various species),False,4094
Aphis citricola,Aphis citricola,True,351
Apolygus lucorum (Mirid bug),Apolygus lucorum (Mirid bug),False,381
Apple scab (Venturia inaequalis),Apple scab (Venturia inaequalis),False,2016
Apple___healthy,Apple healthy,True,2008
Bacterial spot – Xanthomonas spp,Bacterial spot – Xanthomonas spp,False,118
Bactrocera tsuneonis (Fruit fly),Bactrocera tsuneonis (Fruit fly),False,168
Banana anthracnose (Colletotrichum musae),Banana anthracnose (Colletotrichum musae),False,459
Beet spot flies,Beet spot flies,False,299
Beet weevil,Beet weevil,True,308
Bell_pepper_bacterial_spot_Bing,Bell pepper bacterial spot Bing,False,198
Bird cherry-oataphid,Bird cherry oataphid,False,708
Black cutworm,Black cutworm,True,854
Black rot of apple,Black rot of apple,False,454
Black rot of apple – Botryosphaeria obtusa,Black rot of apple – Botryosphaeria obtusa,False,1987
Black-Leaf-Spot,Black Leaf Spot,False,436
Blister beetle,Blister beetle,True,1897
Blueberry_anthracnose_Bing,Blueberry anthracnose Bing,False,169
Blueberry___healthy,Blueberry healthy,True,1816
Bract-Mosaic-Virus-Disease,Bract Mosaic Virus Disease,False,279
Brevipoalpus lewisi McGregor,Brevipoalpus lewisi McGregor,False,79
Broccoli_alternaria_leaf_spot_Bing,Broccoli alternaria leaf spot Bing,False,88
Brown plant hopper,Brown plant hopper,False,834
Bruchophagus roddi(Alfalfa seed chalcid),Bruchophagus roddi(Alfalfa seed chalcid),False,185
Cabbage army worm,Cabbage army worm,False,855
Cabbage_alternaria_leaf_spot,Cabbage alternaria leaf spot,False,220
Carrot_alternaria_leaf_blight_Bing,Carrot alternaria leaf blight Bing,False,121
Cauliflower_alternaria_leaf_spot,Cauliflower alternaria leaf spot,False,72
Cedar apple rust (Gymnosporangium juniperi-virginianae),Cedar apple rust (Gymnosporangium juniperi virginianae),False,1760
Celery_anthracnose,Celery anthracnose,True,52
Cerodonta denticornis,Cerodonta denticornis,True,137
Ceroplastes rubens,Ceroplastes rubens,True,258
Cherry_(including_sour)___healthy,Cherry (including sour) healthy,False,1826
Cherry_(including_sour)___Powdery_mildew,Cherry (including sour) Powdery mildew,False,1683
Cherry_leaf_spot,Cherry leaf spot,False,111
Chilo suppressalis (Asiatic rice borer),Chilo suppressalis (Asiatic rice borer),False,1053
Chlumetia transversa,Chlumetia transversa,True,305
Chrysomphalus aonidum,Chrysomphalus aonidum,True,225
Cicadella viridis,Cicadella viridis,True,1279
