old_name,new_name
Adelphocoris lineolatus (Alfalfa plant bug),Adelphocoris lineolatus (Alfalfa plant bug)
Aleurocanthus spiniferus (Orange spiny whitefly),Aleurocanthus spiniferus (Orange spiny whitefly)
Ampelophaga spp. (Grape hornworm moth),Ampelophaga spp. (Grape hornworm moth)
Anthracnose (Colletotrichum spp.),Anthracnose (Colletotrichum spp.)
Aphididae (various species),Aphididae (various species)
Aphis citricola,Aphis citricola
Apolygus lucorum (Mirid bug),Apolygus lucorum (Mirid bug)
Apple scab (Venturia inaequalis),Apple scab (Venturia inaequalis)
Apple___healthy,Apple healthy
Bacterial spot – Xanthomonas spp,Bacterial spot – Xanthomonas spp
Bactrocera tsuneonis (Fruit fly),Bactrocera tsuneonis (Fruit fly)
Banana anthracnose (Colletotrichum musae),Banana anthracnose (Colletotrichum musae)
Beet spot flies,Beet spot flies
Beet weevil,Beet weevil
Bell_pepper_bacterial_spot_Bing,Bell pepper bacterial spot Bing
Bird cherry-oataphid,Bird cherry oataphid
Black cutworm,Black cutworm
Black rot of apple,Black rot of apple
Black rot of apple – Botryosphaeria obtusa,Black rot of apple – Botryosphaeria obtusa
Black-Leaf-Spot,Black Leaf Spot
Blister beetle,Blister beetle
Blueberry_anthracnose_Bing,Blueberry anthracnose Bing
Blueberry___healthy,Blueberry healthy
Bract-Mosaic-Virus-Disease,Bract Mosaic Virus Disease
Brevipoalpus lewisi McGregor,Brevipoalpus lewisi McGregor
Broccoli_alternaria_leaf_spot_Bing,Broccoli alternaria leaf spot Bing
Brown plant hopper,Brown plant hopper
Bruchophagus roddi(Alfalfa seed chalcid),Bruchophagus roddi(Alfalfa seed chalcid)
Cabbage army worm,Cabbage army worm
Cabbage_alternaria_leaf_spot,Cabbage alternaria leaf spot
Carrot_alternaria_leaf_blight_Bing,Carrot alternaria leaf blight Bing
Cauliflower_alternaria_leaf_spot,Cauliflower alternaria leaf spot
Cedar apple rust (Gymnosporangium juniperi-virginianae),Cedar apple rust (Gymnosporangium juniperi virginianae)
Celery_anthracnose,Celery anthracnose
Cerodonta denticornis,Cerodonta denticornis
Ceroplastes rubens,Ceroplastes rubens
Cherry_(including_sour)___healthy,Cherry (including sour) healthy
Cherry_(including_sour)___Powdery_mildew,Cherry (including sour) Powdery mildew
Cherry_leaf_spot,Cherry leaf spot
Chilo suppressalis (Asiatic rice borer),Chilo suppressalis (Asiatic rice borer)
Chlumetia transversa,Chlumetia transversa
Chrysomphalus aonidum,Chrysomphalus aonidum
Cicadella viridis,Cicadella viridis
Cicadellidae,Cicadellidae
Citrus_canker,Citrus canker
Coffee_berry_blotch_Bing,Coffee berry blotch Bing
Colomerus vitis,Colomerus vitis
Cordana,Cordana
Corn borer,Corn borer
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn (maize) Cercospora leaf spot Gray leaf spot
Corn_(maize)___Common_rust_,Corn (maize) Common rust
Corn_(maize)___healthy,Corn (maize) healthy
Corn_(maize)___Northern_Leaf_Blight,Corn (maize) Northern Leaf Blight
Corn_gray_leaf_spot,Corn gray leaf spot
Cucumber_angular_leaf_spot,Cucumber angular leaf spot
Dacus dorsalis(Hendel),Dacus dorsalis(Hendel)
Dasineura sp,Dasineura sp
Deporaus marginatus Pascoe,Deporaus marginatus Pascoe
Downey-Mildew,Downey Mildew
Downy mildew of basil (Peronospora belbahrii),Downy mildew of basil (Peronospora belbahrii)
Downy-Mildew,Downy Mildew
Early-Leaf-Spot,Early Leaf Spot
Eggplant_cercospora_leaf_spot,Eggplant cercospora leaf spot
English grain aphid,English grain aphid
Erythroneura apicalis,Erythroneura apicalis
Flax budworm,Flax budworm
Flea beetle,Flea beetle
Flea-Beetle,Flea Beetle
Garlic_leaf_blight,Garlic leaf blight
Ginger_leaf_spot,Ginger leaf spot
Grain spreader thrips,Grain spreader thrips
Grapevine_leafroll_disease,Grapevine leafroll disease
Grape_black_rot,Grape black rot
Grape___Black_rot,Grape Black rot
Grape___Esca_(Black_Measles),Grape Esca (Black Measles)
Grape___healthy,Grape healthy
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grape Leaf blight (Isariopsis Leaf Spot)
Green bug,Green bug
Grub,Grub
Halo blight of bean (Pseudomonas syringae pv. phaseolicola),Halo blight of bean (Pseudomonas syringae pv. phaseolicola)
Hypera postica(Alfalfa weevil),Hypera postica(Alfalfa weevil)
Icerya purchasi Maskell,Icerya purchasi Maskell
Insect-Pest,Insect Pest
Large cutworm,Large cutworm
Late-Leaf-Spot,Late Leaf Spot
Lawana imitata Melichar,Lawana imitata Melichar
Leaf-Curl,Leaf Curl
Legume blister beetle,Legume blister beetle
Lettuce_downy_mildew,Lettuce downy mildew
Limacodidae,Limacodidae
Locustoidea,Locustoidea
Longlegged spider mite,Longlegged spider mite
Lycorma delicatula,Lycorma delicatula
Lytta polita,Lytta polita
Mango flat beak leafhopper,Mango flat beak leafhopper
Maple_tar_spot,Maple tar spot
Meadow moth,Meadow moth
Miridae,Miridae
Mole cricket,Mole cricket
Mosaic-Virus,Mosaic Virus
Nipaecoccus vastalor,Nipaecoccus vastalor
Nutirtion-Deficiency,Nutirtion Deficiency
Odontothrips loti,Odontothrips loti
Oides decempunctata,Oides decempunctata
Orange___Haunglongbing_(Citrus_greening),Orange Haunglongbing (Citrus greening)
Paddy stem maggot,Paddy stem maggot
Panonchus citri McGregor,Panonchus citri McGregor
Papilio xuthus,Papilio xuthus
Parathrene regalis,Parathrene regalis
Parlatoria zizyphus Lucus,Parlatoria zizyphus Lucus
Peach borer,Peach borer
Peach_anthracnose_Bing_0000,Peach anthracnose Bing 0000
Peach___Bacterial_spot,Peach Bacterial spot
Peach___healthy,Peach healthy
Pegomya betae(Beet fly),Pegomya betae(Beet fly)
Penthaleus major,Penthaleus major
"Pepper,_bell___Bacterial_spot","Pepper, bell Bacterial spot"
"Pepper,_bell___healthy","Pepper, bell healthy"
Pestalotiopsis,Pestalotiopsis
Phyllocnistis citrella Stainton,Phyllocnistis citrella Stainton
Phyllocoptes oleiverus ashmead,Phyllocoptes oleiverus ashmead
Pieris canidia,Pieris canidia
Plant Healthy,Plant Healthy
Plum_bacterial_spot_Bing,Plum bacterial spot Bing
Polyphagotars onemus latus,Polyphagotars onemus latus
Potato_early_blight,Potato early blight
Potato___Early_blight,Potato Early blight
Potato___healthy,Potato healthy
Potato___Late_blight,Potato Late blight
Potosiabre vitarsis,Potosiabre vitarsis
Prodenia litura,Prodenia litura
Pseudococcus comstocki Kuwana,Pseudococcus comstocki Kuwana
Raspberry_fire_blight_Bing,Raspberry fire blight Bing
Raspberry___healthy,Raspberry healthy
Red spider,Red spider
Rhytidodera bowrinii white,Rhytidodera bowrinii white
Rice gall midge,Rice gall midge
Rice leaf caterpillar,Rice leaf caterpillar
Rice leaf roller,Rice leaf roller
Rice leafhopper,Rice leafhopper
