original_name,new_name
Corn___Common_Rust,Corn_Common_Rust
Corn___Gray_Leaf_Spot,Corn_Gray_Leaf_Spot
Corn___Healthy,Corn_Healthy
Corn___Leaf_Blight,Corn_Leaf_Blight
Potato___Early_Blight,Potato_Early_Blight
Potato___Healthy,Potato_Healthy
Potato___Late_Blight,Potato_Late_Blight
Rice___Brown_Spot,Rice_Brown_Spot
Rice___Healthy,Rice_Healthy
Rice___Hispa,Rice_Hispa
Rice___Leaf_Blast,Rice_Leaf_Blast
Wheat___Brown_Rust,Wheat_Brown_Rust
Wheat___Healthy,Wheat_Healthy
Wheat___Yellow_Rust,Wheat_Yellow_Rust
