original_name,new_name
ash_gourdnitrogen_deficiency,Ash_gourd_Nutrient_deficiency
ash_gourd_healthy,Ash_gourd_Healthy
ash_gourd_nitrogen_and_magnesium_deficiency,Ash_gourd_Nutrient_deficiency
ash_gourd_nitrogen_and_potassium_deficiency,Ash_gourd_Nutrient_deficiency
ash_gourd_potassium_and_magnesium_deficiency,Ash_gourd_Nutrient_deficiency
ash_gourd_potassium_deficiency,Ash_gourd_Nutrient_deficiency
ash_gourd_powdery_mildew,Ash_gourd_Powdery_mildew
bitter_gourd_downy_mildew,Bitter_gourd_Downy_mildew
bitter_gourd_healthy,Bitter_gourd_Healthy
bitter_gourd_leaf_spot,Bitter_gourd_Leaf_spot
bitter_gourd_nitrogen_and_potassium_deficiency,Bitter_gourd_Nutrient_deficiency
bitter_gourd_nitrogen_deficiency,Bitter_gourd_Nutrient_deficiency
bitter_gourd_potassium_and_magnesium_deficiency,Bitter_gourd_Nutrient_deficiency
Cucumber_nitrogen_and_potassium_deficiency,Cucumber_Nutrient_deficiency
Cucumber_nitrogen_deficiency,Cucumber_Nutrient_deficiency
eggplant_epilachna_beetle,Eggplant_Pest
eggplant_flea_beetle,Eggplant_Pest
eggplant_jassid,Eggplant_Pest
eggplant_mite,Eggplant_Pest
eggplant_mite_and_epilachna_beetle,Eggplant_Pest
eggplant_nitrogen_and_potassium_deficiency,Eggplant_Nutrient_deficiency
eggplant_nitrogen_deficiency,Eggplant_Nutrient_deficiency
eggplant_potassium_deficiency,Eggplant_Nutrient_deficiency
potassium_deficiency,General_Nutrient_deficiency
pumpkin_caterpillar,Pumpkin_Pest
pumpkin_leaf_eating_insect,Pumpkin_Pest
pumpkin_leaf_eating_insect_and_insect_egg_mass,Pumpkin_Pest
pumpkin_leaf_eating_insect_and_mite,Pumpkin_Pest
ridge_gourd_healthy,Ridge_gourd_Healthy
ridge_gourd_nitrogen_and_magnesium_deficiency,Ridge_gourd_Nutrient_deficiency
ridge_gourd_nitrogen_deficiency,Ridge_gourd_Nutrient_deficiency
snake_gourd_nitrogen_and_potassium_deficiency,Snake_gourd_Nutrient_deficiency
snake_gourd_nitrogen_deficiency,Snake_gourd_Nutrient_deficiency
snake_gourd_potassium_deficiency,Snake_gourd_Nutrient_deficiency
Tomato_Leaf_miner,Tomato_Pest
Tomato_nitrogen_and_potassium_deficiency,Tomato_Nutrient_deficiency
Tomato_nitrogen_deficiency,Tomato_Nutrient_deficiency
Tomato_potassium_deficiency,Tomato_Nutrient_deficiency
