merge_group,category,canonical_name,duplicates_found,image_count_total,recommendation,notes
Apple,Fruit Disease,Apple_Scab,"Apple__Apple_scab (1), Apple_scab, Apple__scab",2502,MERGE,"Multiple versions of apple scab - consolidate to 'Apple_Scab'"
Apple,Fruit Disease,Apple_Black_Rot,"Apple__Black_rot (1), Apple__Black_rot, Apple__Black_Rot, Apple black_spot, Apple_Black_Rot",4240,MERGE,"5 versions with different formatting and naming - use 'Apple_Black_Rot'"
Apple,Fruit Disease,Apple_Cedar_Apple_Rust,"Apple__Cedar_apple_rust (2), Apple__Cedar_apple_rust (1), Apple__Cedar_apple_rust, Apple_Cedar_apple_rust, Apple_Cedar_Apple_Rust",2934,MERGE,"5 variations - standardize to 'Apple_Cedar_Apple_Rust'"
Apple,Fruit Disease,Apple_Healthy,"Apple__healthy, Apple__Healthy, Apple_Healthy",2604,MERGE,"3 variations of healthy apples - use 'Apple_Healthy'"
Apple,Fruit Disease,Apple_Brown_Spot,Apple_Brown_spot,1060,KEEP,"Unique, no duplicates detected"
Apple,Fruit Disease,Apple_Rotten,"Apple__Rotten (1), Apple_Rotten",1228,MERGE,"2 versions - consolidate"

Banana,Fruit Disease,Banana_Healthy,"Banana__Healthy (1), Banana__Healthy, Banana_Healthy",1737,MERGE,"3 versions of healthy banana"
Banana,Fruit Disease,Banana_Rotten,"Banana__Rotten, Banana_Rotten",1625,MERGE,"2 versions"
Banana,Fruit Disease,Banana_Black_Sigatoka,"Banana_Leaf_Black_Sigatoka, Banana_Black_Sigatoka",1411,MERGE,"Different naming - use 'Banana_Black_Sigatoka'"
Banana,Fruit Disease,Banana_Cordana,"Banana_Cordana, Banana_Fruit_Anthracnose, Banana_Cordana_Leaf_Spot",1934,REVIEW,"Possible overlap between Anthracnose and Cordana - may be related diseases"
Banana,Fruit Disease,Banana_Leaf_Anthracnose,Banana_Fruit_Anthracnose,218,MERGE,"Fruit vs Leaf distinction - decide on standardization"
Banana,Fruit Disease,Banana_Healthy_Leaf,Banana_Healthy_Fruit,668,MERGE,"Separate Leaf/Fruit healthy - might want unified 'Banana_Healthy'"

Cherry,Fruit Disease,Cherry_Healthy,"Cherry__healthy (1), Cherry_Healthy, Cherry_Healthy (1), Cherry_Healthy (2)",3334,MERGE,"4 versions - use 'Cherry_Healthy'"
Cherry,Fruit Disease,Cherry_Powdery_Mildew,"Cherry_Powdery_mildew (1), Cherry__Powdery_mildew, Cherry_Powdery_mildew, Cherry_powdery_mildew, Cherry_Powdery_Mildew",4253,MERGE,"5 variations - standardize to 'Cherry_Powdery_Mildew'"
Cherry,Fruit Disease,Cherry_Brown_Spot,Cherry_brown_spot,968,KEEP,"Unique"
Cherry,Fruit Disease,Cherry_Leaf_Spot,"Cherry_Leaf_Spot, Cherry_Leaf_Scorch",1302,REVIEW,"Leaf Spot vs Scorch - different diseases, keep separate"
Cherry,Fruit Disease,Cherry_purple_leaf_spot,Cherry_purple_leaf_spot,987,KEEP,"Unique"
Cherry,Fruit Disease,Cherry_shot_hole,"Cherry__shot hole disease (from name), Cherry_shot hole disease, Cherry_shot_hole",440,MERGE,"3 naming variations"

Citrus,Fruit Disease,Citrus_Black_Spot,"Citrus_Black_spot (2), Citrus_Black_spot (1), Citrus_Black_spot",622,MERGE,"3 versions - use 'Citrus_Black_Spot'"
Citrus,Fruit Disease,Citrus_Greening,"Citrus_greening (1), Citrus_Leaf_Greening, Citrus_Greening, Citrus_greening, Orange__Haunglongbing_(Citrus_greening), Orange_Citrus_Greening",7557,MERGE,"6 variations including 'Haunglongbing' scientific name - use 'Citrus_Greening' as canonical"
Citrus,Fruit Disease,Citrus_Canker,"Citrus_canker (1), Citrus_Canker",681,MERGE,"2 versions"
Citrus,Fruit Disease,Citrus_Healthy,"Citrus_Healthy (1), Citrus_Healthy",87,MERGE,"2 versions"

Corn,Crop Disease,Corn_Healthy,"Corn_healthy (1), Corn_healthy (2), Corn__healthy (2), Corn___Healthy, Corn___Healthy (1), Corn_Healthy, Corn_healthy",5414,MERGE,"7 variations - standardize to 'Corn_Healthy'"
Corn,Crop Disease,Corn_Common_Rust,"Corn_Common_rust (1), Corn__Common_rust, Corn___Common_Rust, Corn_Common_Rust (1), Corn_Common_Rust",4645,MERGE,"5 versions"
Corn,Crop Disease,Corn_Northern_Leaf_Blight,"Corn_Northern_Leaf_Blight (1), Corn_Northern_Leaf_Blight (3), Corn__Northern_Leaf_Blight, Corn___Northern_Leaf_Blight, Corn_Northern_Leaf_Blight (2), Corn_Northern_Leaf_Blight",5439,MERGE,"6 versions with number suffixes"
Corn,Crop Disease,Corn_Gray_Leaf_Spot,"Corn_gray_leaf_spot, Corn_Cercospora_Leaf_Spot, Corn__Cercospora_leaf_spot_Gray_leaf_spot, Corn___Gray_Leaf_Spot",4568,MERGE,"4 versions - Gray Leaf Spot and Cercospora often same disease"
Corn,Crop Disease,Corn_Leaf_Spot,"Corn_Leaf_Spot, Corn_leaf_spot",1287,MERGE,"2 versions"
Corn,Crop Disease,Corn_cercospora_gray_leaf_spot,CONSOLIDATED,1200,CONSOLIDATE,"Already merged format"
Corn,Crop Disease,Corn_Leaf_Blight,"Corn_Leaf_Blight (1), Corn_leaf_blight",2397,MERGE,"2 versions"
Corn,Crop Disease,Corn_Grasshopper,Corn_Leaf_Beetle + Corn_Grasshopper,1686,KEEP,"Separate insect pests"
Corn,Crop Disease,Corn_Streak_Virus,,979,KEEP,"Unique viral disease"

Cotton,Crop Disease,Cotton_Healthy,"Cotton_healthy (1), Cotton_healthy, Cotton_Healthy",1270,MERGE,"3 versions"
Cotton,Crop Disease,Cotton_Bacterial_Blight,"Cotton_bacterial_blight (1), Cotton_Bacterial_blight, Cotton_Bacterial_Blight",896,MERGE,"3 versions"
Cotton,Crop Disease,Cotton_Curl_Virus,"Cotton_curl_virus (1), Cotton_Curl_virus, Cotton_curl_virus",836,MERGE,"3 versions"
Cotton,Crop Disease,Cotton_Fusarium_Wilt,"Cotton_fussarium_wilt (1), Cotton_fussarium_wilt, Cotton_Fusarium_wilt",1257,MERGE,"3 versions (note spelling: fussarium vs Fusarium)"
Cotton,Crop Disease,Cotton_Bollworm,"Cotton__bollworm (Helicoverpa armigera), Cotton_Adult_Bollworm, Cotton_Larve_Bollworm, Damages_Fruit_Bollworm",195,REVIEW,"Life stages split - consider merging or keeping separate for training"

Grape,Fruit Disease,Grape_Healthy,"Grape__healthy (1), Grape_Healthy, Grape_healthy",2837,MERGE,"3 versions"
Grape,Fruit Disease,Grape_Black_Rot,"Grape__Black_rot (1), Grape__black_rot (1), Grape_Black_Rot, Grape_black_rot",3200,MERGE,"4 versions"
Grape,Fruit Disease,Grape_Black_Measles,"Grape_Black_Measles (1), Grape_Black_Measles, Grape__Esca_(Black_Measles), Grape_Leaf_Esca, Grape_Esca",3883,MERGE,"5 versions - Esca is same as Black Measles"
Grape,Fruit Disease,Grape_Leaf_Blight,"Grape__Leaf_blight_(Isariopsis_Leaf_Spot), Grape_Isariopsis_Leaf_Spot, Grape_Leaf_Blight",2076,MERGE,"3 versions - Isariopsis is Leaf Blight"
Grape,Fruit Disease,Grape_Powdery_Mildew,Grape_Powdery_mildew leaf,1208,KEEP,"Unique"
Grape,Fruit Disease,Grape_Leaf_Leafroll_Virus,Grape_Leaf_Leafroll_Virus,168,KEEP,"Unique viral"
Grape,Fruit Disease,Grape_Downy_Mildew,"Niphad Grape_Downey Mildew, Grape_Downy_mildew leaf",1590,MERGE,"2 versions (note spelling: Downy vs Downey)"
Grape,Fruit Disease,Grape_Anthracnose,Grape_Anthracnose leaf,996,KEEP,"Unique"
Grape,Fruit Disease,Grape_Brown_Spot,"Grape_Brown_spot leaf, Grape_Brown spot leaf",1264,MERGE,"2 versions"
Grape,Fruit Disease,Grape_shot_hole,"Grape_shot hole leaf disease, Grape_shot hole leaf disease",852,KEEP,"Unique"
Grape,Fruit Disease,Grape_Mites,Grape_Mites_leaf disease,500,KEEP,"Unique"

Peach,Fruit Disease,Peach_Bacterial_Spot,"Peach__bacterial_spot, Peach_Bacterial_spot",1808,MERGE,"2 versions"
Peach,Fruit Disease,Peach_Healthy,"Peach__healthy (if exists), Peach_Healthy",1200,KEEP,"Unique"

Potato,Vegetable Disease,Potato_Healthy,"Potato__Healthy (1), Potato__Healthy, Potato_Healthy (1), Potato_healthy, Potato___Healthy, Potato_Healthy",5341,MERGE,"6 versions"
Potato,Vegetable Disease,Potato_Early_Blight,"Potato_Early_blight, Potato_Early_Blight, Potato___Early_blight (1), Potato_Healthy (1)",4209,MERGE,"4 versions"
Potato,Vegetable Disease,Potato_Late_Blight,"Potato_Late_blight, Potato_Late_Blight, Potato___Late_Blight, Potato_Late_Blight (1)",5102,MERGE,"4 versions"
Potato,Vegetable Disease,Potato_Rotten,"Potato__Rotten, Potato_Rotten",1108,MERGE,"2 versions"

Rice,Crop Disease,Rice_Healthy,"Rice___Healthy, Rice___Healthy (1), Rice_Healthy (1), Rice_Healthy, Rice__healthy, Rice_healthy",2915,MERGE,"6 versions"
Rice,Crop Disease,Rice_Leaf_Blast,"Rice___Leaf_Blast, Rice_Leaf_Blast, Rice_Leaf_Blast (1)",2400,MERGE,"3 versions"
Rice,Crop Disease,Rice_Brown_Spot,"Rice___Brown_Spot, Rice_Brown_Spot, Rice_Brown_Spot (1)",1549,MERGE,"3 versions"
Rice,Crop Disease,Rice_Leaf_Scald,Rice_Leaf_scald,628,KEEP,"Unique"
Rice,Crop Disease,Rice_hispa,"Rice__hispa (1), Rice_hispa, Rice_hispa (renamed from other sources)",1265,MERGE,"2-3 versions"
Rice,Crop Disease,Rice_Neck_Blast,Rice___Neck_Blast,553,KEEP,"Unique"

