original_name,crop,condition,standardized_name,format_issue,priority
Grape_Black_Measles,Grape,Black_Measles,Grape_Black_Measles,OK,1
Cotton_fussarium_wilt,Cotton,Fusarium_Wilt,Cotton_Fusarium_Wilt,SPELLING,2
Cotton_curl_virus,Cotton,Curl_Virus,Cotton_Curl_Virus,OK,1
Cotton_bacterial_blight,Cotton,Bacterial_Blight,Cotton_Bacterial_Blight,case,2
Cotton_healthy,Cotton,Healthy,Cotton_Healthy,case,2
Citrus_Black_spot,Citrus,Black_Spot,Citrus_Black_Spot,case,2
Citrus_greening,Citrus,Greening,Citrus_Greening,case,2
Corn_healthy,Corn,Healthy,Corn_Healthy,OK,1
Cherry_Healthy,Cherry,Healthy,Cherry_Healthy,OK,1
Corn_Northern_Leaf_Blight,Corn,Northern_Leaf_Blight,Corn_Northern_Leaf_Blight,OK,1
Cherry_Powdery_mildew,Cherry,Powdery_Mildew,Cherry_Powdery_Mildew,case,2
Citrus_canker,Citrus,Canker,Citrus_Canker,case,2
Corn_cercospora_gray_leaf_spot,Corn,Gray_Leaf_Spot,Corn_Gray_Leaf_Spot,SIMPLIFY,2
Citrus_Healthy,Citrus,Healthy,Citrus_Healthy,OK,1
Corn_Common_rust,Corn,Common_Rust,Corn_Common_Rust,case,2
Alfalfa_Leaf_Mosaic_Virus,Alfalfa,Leaf_Mosaic_Virus,Alfalfa_Leaf_Mosaic_Virus,OK,1
Alluim_Leaf_Bacterial_Soft_Rot,Alliium,Leaf_Bacterial_Soft_Rot,Alliium_Leaf_Bacterial_Soft_Rot,SPELLING,3
Alternaria black molds  stem cankers (Genus Alternaria Nees),Plant,Alternaria_Stem_Cankers,Alternaria_Stem_Cankers,REMOVE_PARENTHESES,3
Alternaria_Leaf_Spot,Plant,Alternaria_Leaf_Spot,Alternaria_Leaf_Spot,OK,1
Angular_Leaf_Spot_Cucumber,Cucumber,Angular_Leaf_Spot,Cucumber_Angular_Leaf_Spot,REORDER,2
Anthracnose (Colletotrichum orbiculare (Berk. & Mo,Plant,Anthracnose,Anthracnose,REMOVE_SCIENTIFIC,3
Apple_Scab,Apple,Scab,Apple_Scab,OK,1
Aspergillus ear and kernel rot (Aspergillus flavus Maize),Maize,Aspergillus_Kernel_Rot,Maize_Aspergillus_Kernel_Rot,REMOVE_SCIENTIFIC,3
Banana_Fruit_Anthracnose,Banana,Fruit_Anthracnose,Banana_Anthracnose,SIMPLIFY,2
Banana_Leaf_Anthracnose,Banana,Leaf_Anthracnose,Banana_Anthracnose,SIMPLIFY,2
Banana_Leaf_Black_Sigatoka,Banana,Black_Sigatoka,Banana_Black_Sigatoka,SIMPLIFY,2
