crops_folder_name,matched_new_name
Apple_Black_rot,Apple_Black_rot
Apple_Cedar_apple_rust,Apple_Cedar_apple_rust
Apple_healthy,Apple_Healthy
Cherry_Healthy,Cherry_Healthy
Cherry_Powdery_mildew,Cherry_Powdery_mildew
Grape_Black_rot,Grape_Black_rot
Grape_Healthy,Grape_Healthy
Peach_Bacterial_spot,Peach_Bacterial_spot
Peach_Healthy,Peach_Healthy
Pepper_bell_Bacterial_spot,Pepper,_bell___Bacterial_spot
pepper_bell_healthy,Pepper,_bell___healthy
Potato_Early_blight,Potato_Early_blight
Potato_healthy,Potato_Healthy
Potato_Late_blight,Potato_Late_blight
Rice_Bacterial_Leaf_Blight,Rice_Bacterial_leaf_blight
Rice_Brown_Spot,Rice_Brown_spot
Strawberry_Healthy,Strawberry_Healthy
Strawberry_Leaf_scorch,Strawberry_Leaf_scorch
Tomato_Bacterial_spot,Tomato_Bacterial_spot
Tomato_Early_blight,Tomato_Early_blight
Tomato_healthy,Tomato_Healthy
Tomato_Late_blight,Tomato_Late_blight
Tomato_Leaf_Mold,Tomato_Leaf_mold
Tomato_mosaic_virus,Tomato_Mosaic_virus
Tomato_Septoria_leaf_spot,Tomato_Septoria_leaf_spot
Tomato_Spider_mites,Tomato_Spider_mite
Tomato_Target_Spot,Tomato_Target_spot
