original_name,new_name
brassica_oleracea___black_leaf_spot,Brassica_Black_leaf_spot
brown___blight_in_tea,Tea_Brown_blight
cabbage___looper,Pest_Cabbage_looper
cauliflower___alternaria_leaf_spot,Cauliflower_Alternaria_leaf_spot
chili___cercospora_leaf_spot,Chili_Cercospora_leaf_spot
chili___white_spot,Chili_White_spot
corn___borer,Pest_Corn_borer
early___arachis_hypogaea_leaf_spot,Peanut_Early_leaf_spot
healthy___tea_leaf,Tea_Healthy
icerya___purchasi_maskell,Pest_Icerya_purchasi
late___arachis_hypogaea_leaf_spot,Peanut_Late_leaf_spot
mole___cricket,Pest_Mole_cricket
peach___borer,Pest_Peach_borer
red___leaf_spot_in_tea,Tea_Red_leaf_spot
rice___leaf_roller,Pest_Rice_leaf_roller
rice___water_weevil,Pest_Rice_water_weevil
scirtothrips___dorsalis_hood,Pest_Scirtothrips_dorsalis
trialeurodes___vaporariorum,Pest_Whitefly
unaspis___yanonensis,Pest_Unaspis_yanonensis
white___backed_plant_hopper,Pest_Rice_planthopper
yellow___rice_borer,Pest_Rice_borer
