Maladie Recherchée,Statut,Fichier Original,Score Confiance (%)
Alfalfa Leaf Mosaic Virus,ECHEC,N/A,0
Allium Leaf Bacterial Soft Rot,ECHEC,N/A,0
Alternaria Black Mold Stem Cankers,ECHEC,N/A,0
Alternaria Leaf Spot,ECHEC,N/A,0
Angular Leaf Spot Cucumber,ECHEC,N/A,0
Anthracnose Colletotrichum orbiculare,ECHEC,N/A,0
Aphids,ECHEC,N/A,0
Apple Scab,ECHEC,N/A,0
Aspergillus Ear and Kernel Rot,ECHEC,N/A,0
Banana Fruit Anthracnose,ECHEC,N/A,0
Banana Leaf Anthracnose,ECHEC,N/A,0
Banana Leaf Black Sigatoka,ECHEC,N/A,0
Banana Leaf Bunchy Top Virus,ECHEC,N/A,0
Banana Leaf Streak Virus,ECHEC,N/A,0
Banana Leaf Yellow Sigatoka,ECHEC,N/A,0
Bean Leaf Bacterial Blight,ECHEC,N/A,0
Bean Leaf Rust,ECHEC,N/A,0
Bell Pepper Fruit Blossom End Rot,ECHEC,N/A,0
Bread Mold Rhizopus stolonifer,ECHEC,N/A,0
Broad Mite Polyphagotarsonemus latus,ECHEC,N/A,0
Brown Rot Fruit,ECHEC,N/A,0
Cabbage Leaf Bacterial Blight,ECHEC,N/A,0
Cabbage Leaf Bacterial Soft Rot,ECHEC,N/A,0
Carrot Alternaria Fruit Spot,ECHEC,N/A,0
Carrot Root Fly,ECHEC,N/A,0
Cereals Leaf Bacterial Spot,ECHEC,N/A,0
Cherry Leaf Spot,ECHEC,N/A,0
Choanephora Fruit Rot,ECHEC,N/A,0
Citrullus Fruit Blossom End Rot,ECHEC,N/A,0
Citrullus Bacterial Fruit Blotch,ECHEC,N/A,0
Citrullus Bacterial Leaf Blotch,ECHEC,N/A,0
Citrus Canker,ECHEC,N/A,0
Citrus Leaf Greening,ECHEC,N/A,0
Corn Smut Ustilago maydis,ECHEC,N/A,0
Corynespora Leaf Spot,ECHEC,N/A,0
Cotton Bollworm Helicoverpa armigera,ECHEC,N/A,0
Cotton Adult Bollworm,ECHEC,N/A,0
Cotton Larvae Bollworm,ECHEC,N/A,0
Crucifers Xanthomonas campestris Black Rot,ECHEC,N/A,0
Cucurbit Leaf Downy Mildew,ECHEC,N/A,0
Curculionoidea Weevil,ECHEC,N/A,0
Fruit Bollworm Damages,ECHEC,N/A,0
Fall Armyworm Spodoptera frugiperda,ECHEC,N/A,0
Fall Armyworm Larvae,ECHEC,N/A,0
Fall Armyworm Adults,ECHEC,N/A,0
Flower Blights Choanephora,ECHEC,N/A,0
Fusarium Cereal Head Blight,ECHEC,N/A,0
Geotrichum Rot Cucurbitaceae Fruit,ECHEC,N/A,0
Grape Leaf Esca,ECHEC,N/A,0
Grape Leaf Leafroll Virus,ECHEC,N/A,0
Hosta Leaf Virus X,ECHEC,N/A,0
Kudzu Bug Megacopta cribraria,ECHEC,N/A,0
