original_name,new_name
Citrus_Black_spot,Citrus_Black_spot
Citrus_canker,Citrus_Canker
Citrus_greening,Citrus_Citrus_greening
Citrus_Healthy,Citrus_Healthy
Cotton_bacterial_blight,Cotton_Bacterial_blight
Cotton_curl_virus,Cotton_Curl_virus
Cotton_fussarium_wilt,Cotton_Fusarium_wilt
Cotton_healthy,Cotton_Healthy
Grape_Black_Measles,Grape_Esca
Grape_Isariopsis_Leaf_Spot,Grape_Leaf_blight
Rice_Healthy,Rice_Healthy
Rice_Leaf_Blast,Rice_Leaf_blast
Rice_Leaf_scald,Rice_Leaf_scald
Rice_Sheath_Blight,Rice_Sheath_blight
Sugarcane_Healthy,Sugarcane_Healthy
Sugarcane_Mosaic_Virus,Sugarcane_Mosaic_virus
Sugarcane_RedRot,Sugarcane_Red_rot
Sugarcane_Rust,Sugarcane_Rust
Sugarcane_Yellow,Sugarcane_Yellow_leaf
Tomato_YellowLeaf_Curl_Virus,Tomato_TYLCV
Wheat_Aphid,Pest_Wheat_aphid
Wheat_Black_Rust,Wheat_Black_rust
Wheat_Blast,Wheat_Blast
Wheat_Brown_Rust,Wheat_Brown_rust
Wheat_Common_Root_Rot,Wheat_Root_rot
Wheat_Fusarium_Head_Blight,Wheat_Fusarium_head_blight
Wheat_Healthy,Wheat_Healthy
Wheat_Leaf_Blight,Wheat_Leaf_blight
Wheat_Mildew,Wheat_Powdery_mildew
Wheat_Mite,Pest_Wheat_mite
Wheat_Septoria,Wheat_Septoria
Wheat_Smut,Wheat_Smut
Wheat_Stem_fly,Pest_Wheat_stem_fly
Wheat_Tan_spot,Wheat_Tan_spot
Wheat_Yellow_Rust,Wheat_Yellow_rust
