old_name,new_name
Apple_-_apple_scab,Apple_Scab
Banana_-_Bract_mosaic_virus,Banana_Bract_Mosaic_Virus
Banana_-_Cordana,Banana_Cordana
Banana_-_Healthy,Banana_Healthy
Banana_-_Insectpest,Banana_Insect_Pest
Banana_-_Moko,Banana_Moko
Banana_-_Panama,Banana_Panama
Banana_-_Pestalotiopsis,Banana_Pestalotiopsis
Banana_-_Sigatoka,Banana_Sigatoka
Banana_-_Yb_sigatoka,Banana_Yellow_Sigatoka
Bell_Pepper_-_Bacterial_Spot,Bell_Pepper_Bacterial_Spot
Bell_Pepper_-_Healthy,Bell_Pepper_Healthy
Blackgram_-_Anthracnose,Blackgram_Anthracnose
Blackgram_-_Healthy,Blackgram_Healthy
Blackgram_-_Leaf_Crinkle,Blackgram_Leaf_Crinkle
Blackgram_-_Powdery_Mildew,Blackgram_Powdery_Mildew
Blackgram_-_Yellow_Mosaic,Blackgram_Yellow_Mosaic
Blueberry_-_Healthy,Blueberry_Healthy
Cauliflower_-_Bacterial_spot_rot,Cauliflower_Bacterial_Spot_Rot
Cauliflower_-_Downy_mildew,Cauliflower_Downy_Mildew
Cauliflower_-_Healthy,Cauliflower_Healthy
Chilli_-_Anthracnose,Chilli_Anthracnose
Chilli_-_Healthy,Chilli_Healthy
Citrus_-_citrus_canker,Citrus_Canker
Citrus_-_citrus_canker_,Citrus_Canker
Coffee_-_coffee_leaf_rust,Coffee_Leaf_Rust
Corn_-_corn_smut,Corn_Smut
Corn_-_Leaf_Blight,Corn_Leaf_Blight
Corn_-_Rust,Corn_Rust
Cucumber_-_cucumber_angular_leaf_spot_,Cucumber_Angular_Leaf_Spot
Cucumber_-_cucumber_powdery_mildew_,Cucumber_Powdery_Mildew
Grape_-_grape_downy_mildew,Grape_Downy_Mildew
Grape_-_grape_downy_mildew_,Grape_Downy_Mildew
Groundnut_-_Early_leaf_spot,Groundnut_Early_Leaf_Spot
Groundnut_-_Early_rust,Groundnut_Early_Rust
Groundnut_-_Healthy,Groundnut_Healthy
Groundnut_-_Late_leaf_spot,Groundnut_Late_Leaf_Spot
Groundnut_-_Nutrition_deficiency,Groundnut_Nutrition_Deficiency
Groundnut_-_Rust,Groundnut_Rust
Maple_-_maple_tar_spot,Maple_Tar_Spot
Paddy_-_Bacterial_Leaf_Blight,Paddy_Bacterial_Leaf_Blight
Paddy_-_Bacterial_Leaf_Streak,Paddy_Bacterial_Leaf_Streak
Paddy_-_Bacterial_Panicle_Blight,Paddy_Bacterial_Panicle_Blight
Paddy_-_Blast,Paddy_Blast
Paddy_-_Brown_Spot,Paddy_Brown_Spot
Paddy_-_Dead_Heart,Paddy_Dead_Heart
Paddy_-_Downy_Mildew,Paddy_Downy_Mildew
Paddy_-_Healthy,Paddy_Healthy
Paddy_-_Hispa,Paddy_Hispa
Paddy_-_Tungro,Paddy_Tungro
Peach_-_Healthy,Peach_Healthy
Peach_-_peach_brown_rot_Bing_,Peach_Brown_Rot
Peach_-_peach_leaf_curl,Peach_Leaf_Curl
Potato_-_Early_Blight,Potato_Early_Blight
Potato_-_Healthy,Potato_Healthy
Potato_-_Late_Blight,Potato_Late_Blight
Radish_-_Black_leaf_spot,Radish_Black_Leaf_Spot
Radish_-_Downey_mildew,Radish_Downy_Mildew
Radish_-_Flea_beetle,Radish_Flea_Beetle
Radish_-_Healthy,Radish_Healthy
Radish_-_Mosaic,Radish_Mosaic
Raspberry_-_Healthy,Raspberry_Healthy
Soybean_-_soybean_frog_eye_leaf_spot_Bing_,Soybean_Frog_Eye_Leaf_Spot
Squash_-_Powdery_Mildew,Squash_Powdery_Mildew
Tomato_-_Bacterial_Spot,Tomato_Bacterial_Spot
Tomato_-_Early_Blight,Tomato_Early_Blight
Tomato_-_Healthy,Tomato_Healthy
Tomato_-_Late_Blight,Tomato_Late_Blight
Tomato_-_Leaf_Mold,Tomato_Leaf_Mold
Tomato_-_Mosaic_Virus,Tomato_Mosaic_Virus
Tomato_-_Septoria_Leaf_Spot,Tomato_Septoria_Leaf_Spot
Tomato_-_Spider_Mites,Tomato_Spider_Mites
Tomato_-_Target_Spot,Tomato_Target_Spot
Tomato_-_tomato_leaf_mold_,Tomato_Leaf_Mold
Tomato_-_Yellow_Leaf_Curl_Virus,Tomato_Yellow_Leaf_Curl_Virus
Wheat_-_wheat_head_scab_Baidu_,Wheat_Head_Scab
Wheat_-_wheat_head_scab_Bing_,Wheat_Head_Scab
Wheat_-_wheat_loose_smut_Bing_,Wheat_Loose_Smut
Wheat_-_wheat_powdery_mildew_Baidu_,Wheat_Powdery_Mildew
Wheat_-_wheat_powdery_mildew_Bing_,Wheat_Powdery_Mildew
Wheat_-_wheat_stripe_rust_Baidu_,Wheat_Stripe_Rust
Wheat_-_wheat_stripe_rust_Bing_,Wheat_Stripe_Rust
Zucchini_-_zucchini_powdery_mildew_Bing_,Zucchini_Powdery_Mildew
