original_name,new_name,action
Acrididae,Pest_Grasshopper,RENAME
Africanized Honey Bees (Killer Bees),Pest_Honey_Bee,RENAME
Alfalfa_Leaf_Mosaic_Virus,Alfalfa_Leaf_Mosaic_Virus,KEEP
Alluim_Leaf_Bacterial_Soft_Rot,Allium_Leaf_Bacterial_Soft_Rot,RENAME
Alternaria black molds  stem cankers (Genus Alternaria Nees),,DELETE
Alternaria_Leaf_Spot,,DELETE
Angular_Leaf_Spot_Cucumber,Cucumber_Angular_Leaf_Spot,RENAME
Anthracnose (Colletotrichum orbiculare (Berk. & Mo,Cucurbit_Anthracnose,RENAME
Aphididae,Pest_Aphid,RENAME
Aphids,Pest_Aphid,RENAME
Aphids (1),Pest_Aphid,RENAME
Apple Brown_spot,Apple_Brown_Spot,RENAME
Apple_Black_Rot,Apple_Black_Rot,KEEP
Apple_Healthy,Apple_Healthy,KEEP
Apple_Rotten,Apple_Rotten,KEEP
Apple_Rust,Apple_Cedar_Apple_Rust,RENAME
Apple_Scab,Apple_Scab,KEEP
Apricot Normal,Apricot_Healthy,RENAME
Apricot shot_hole,Apricot_Shot_Hole_Disease,RENAME
Armyworm,Pest_Armyworm,RENAME
Armyworms,Pest_Armyworm,RENAME
Aspergillus ear and kernel rot (Aspergillus flavus Maize),Corn_Aspergillus_Ear_Rot,RENAME
Banana_Anthracnose,Banana_Anthracnose,KEEP
Banana_Cordana,Banana_Cordana_Leaf_Spot,RENAME
Banana_Cordana_Leaf_Spot,Banana_Cordana_Leaf_Spot,KEEP
Banana_Healthy,Banana_Healthy,KEEP
Banana_Leaf_Bunchy_Top_Virus,Banana_Bunchy_Top_Virus,RENAME
Banana_Leaf_Streak_Virus,Banana_Leaf_Streak_Virus,KEEP
Banana_Moko_Disease,Banana_Moko_Disease,KEEP
Banana_Panama_Disease,Banana_Fusarium_Wilt,RENAME
Banana_Pestalotiopsis_Leaf_Spot,Banana_Pestalotiopsis_Leaf_Spot,KEEP
Banana_Rotten,Banana_Rotten,KEEP
Banana_Sigatoka,Banana_Sigatoka_Leaf_Spot,RENAME
Bean Fungal_leaf disease,Bean_Fungal_Leaf_Disease,RENAME
Bean_Fungal_Disease,Bean_Fungal_Leaf_Disease,RENAME
Bean_Halo_Blight,Bean_Halo_Blight,KEEP
Bean_Healthy,Bean_Healthy,KEEP
Bean_Leaf_Bacterial_Blight,Bean_Leaf_Bacterial_Blight,KEEP
Bean_Leaf_Spot,Bean_Leaf_Spot,KEEP
Bean_Mosaic,Bean_Mosaic_Virus,RENAME
Bean_Rust,Bean_Leaf_Rust,RENAME
Bean_Tobacco_Caterpillar,Pest_Caterpillar,RENAME
Beet_Armyworm,Pest_Beet_Armyworm,RENAME
Bell pepper_Fruit_Blossom_End_Rot,Pepper_Bell_Fruit_Blossom_End_Rot,RENAME
Bellpepper_Healthy,Pepper_Bell_Healthy,RENAME
Bellpepper_Rotten,Pepper_Bell_Rotten,RENAME
Black Gram (Vigna mungo)_cercospora leaf spot,Black_Gram_Cercospora_Leaf_Spot,RENAME
Black Gram (Vigna mungo)_healthy,Black_Gram_Healthy,RENAME
Black Gram (Vigna mungo)_insect,,DELETE
Black Gram (Vigna mungo)_leaf Crinkle,Black_Gram_Leaf_Crinkle_Virus,RENAME
Black Rot,,DELETE
Black_Cutworm,Pest_Black_Cutworm,RENAME
Blackgram_Leaf_Crinkle_Virus,Black_Gram_Leaf_Crinkle_Virus,RENAME
Blackgram_Yellow_Mosaic_Virus,Black_Gram_Yellow_Mosaic_Virus,RENAME
Blister_Beetle,Pest_Blister_Beetle,RENAME
Blueberry_Healthy,Blueberry_Healthy,KEEP
Brassica_Black_leaf_spot,Brassica_Black_Leaf_Spot,RENAME
Bread mold (Rhizopus stolonifer (Ehrenb.) Vuill.),,DELETE
Broad mite (Polyphagotarsonemus latus (Banks)),Pest_Broad_Mite,RENAME
Brown Marmorated Stink Bugs,Pest_Stink_Bug,RENAME
Brown_Rot_Fruit,,DELETE
Cabbage Loopers,Pest_Cabbage_Looper,RENAME
Cabbage_Armyworm,Pest_Cabbage_Armyworm,RENAME
Cabbage_Leaf_Bacterial_Blight,Cabbage_Leaf_Bacterial_Blight,KEEP
Cabbage_Leaf_Bacterial_Soft_Rot,Cabbage_Leaf_Bacterial_Soft_Rot,KEEP
Carota_ Alternaria_Fruit_Spot,Carrot_Alternaria_Fruit_Spot,RENAME
Carrot_Root_Fly,Pest_Carrot_Root_Fly,RENAME
Carrot__Healthy,Carrot_Healthy,KEEP
Carrot__Rotten,Carrot_Rotten,KEEP
Cashew_Anthracnose,Cashew_Anthracnose,KEEP
