current_name,proposed_standard_name
Hibiscus Citruspot,Hibiscus_Citrus_Pot
Hibiscus Early_Mild_Spotting,Hibiscus_Early_Mild_Spotting
Hibiscus Fungal,Hibiscus_Fungal_Infection
Hibiscus Healthy,Hibiscus_Healthy
Hibiscus Mild_Edge__Damage,Hibiscus_Mild_Edge_Damage
Hibiscus Senescent,Hibiscus_Senescent
Hibiscus Slightly_Diseased,Hibiscus_Slightly_Diseased
Hibiscus Wrinkled_Leaf,Hibiscus_Wrinkled_Leaf
Tea Algal Spotout,Tea_Algal_Spot
Tea Brown Blight,Tea_Brown_Blight
Tea Grey Blight,Tea_Grey_Blight
Tea Healthy,Tea_Healthy
Tea Red Spot,Tea_Red_Spot
