original_name,new_name
Adristyrannus,Insect_Adristyrannus
Aleurocanthus spiniferus,Insect_Aleurocanthus_Spiniferus
alfalfa plant bug,Alfalfa_Plant_Bug
alfalfa seed chalcid,Alfalfa_Seed_Chalcid
alfalfa weevil,Alfalfa_Weevil
Aloe_Anthracnose,Aloe_Anthracnose
Aloe_Healthy,Aloe_Healthy
Aloe_LeafSpot,Aloe_Leaf_Spot
Aloe_Rust,Aloe_Rust
Aloe_Sunburn,Aloe_Sunburn
Ampelophaga,Insect_Ampelophaga
aphids,Insect_Aphids
Aphis citricola Vander Goot,Insect_Aphis_Citricola
Apolygus lucorum,Insect_Apolygus_Lucorum
army worm,Insect_Army_Worm
asiatic rice borer,Insect_Asiatic_Rice_Borer
Bactrocera tsuneonis,Insect_Bactrocera_Tsuneonis
beet army worm,Insect_Beet_Army_Worm
beet fly,Insect_Beet_Fly
Beet spot flies,Insect_Beet_Spot_Flies
beet weevil,Insect_Beet_Weevil
bird cherry-oataphid,Insect_Bird_Cherry_Oataphid
black cutworm,Insect_Black_Cutworm
blister beetle,Insect_Blister_Beetle
Brevipoalpus lewisi McGregor,Insect_Brevipoalpus_Lewisi
brown plant hopper,Insect_Brown_Plant_Hopper
cabbage army worm,Insect_Cabbage_Army_Worm
cerodonta denticornis,Insect_Cerodonta_Denticornis
Ceroplastes rubens,Insect_Ceroplastes_Rubens
Chlumetia transversa,Insect_Chlumetia_Transversa
Chrysomphalus aonidum,Insect_Chrysomphalus_Aonidum
Cicadella viridis,Insect_Cicadella_Viridis
Cicadellidae,Insect_Cicadellidae
Colomerus vitis,Insect_Colomerus_Vitis
corn borer,Insect_Corn_Borer
Dacus dorsalis(Hendel),Insect_Dacus_Dorsalis
Dasineura sp,Insect_Dasineura
Deporaus marginatus Pascoe,Insect_Deporaus_Marginatus
english grain aphid,Insect_English_Grain_Aphid
Erythroneura apicalis,Insect_Erythroneura_Apicalis
flax budworm,Insect_Flax_Budworm
flea beetle,Insect_Flea_Beetle
grain spreader thrips,Insect_Grain_Spreader_Thrips
green bug,Insect_Green_Bug
grub,Insect_Grub
Icerya purchasi Maskell,Insect_Icerya_Purchasi
large cutworm,Insect_Large_Cutworm
Lawana imitata Melichar,Insect_Lawana_Imitata
legume blister beetle,Insect_Legume_Blister_Beetle
Limacodidae,Insect_Limacodidae
Locustoidea,Insect_Locustoidea
longlegged spider mite,Insect_Longlegged_Spider_Mite
Lycorma delicatula,Insect_Lycorma_Delicatula
lytta polita,Insect_Lytta_Polita
Mango flat beak leafhopper,Insect_Mango_Flat_Beak_Leafhopper
meadow moth,Insect_Meadow_Moth
Miridae,Insect_Miridae
mole cricket,Insect_Mole_Cricket
Nipaecoccus vastalor,Insect_Nipaecoccus_Vastalor
odontothrips loti,Insect_Odontothrips_Loti
oides decempunctata,Insect_Oides_Decempunctata
paddy stem maggot,Insect_Paddy_Stem_Maggot
Panonchus citri McGregor,Insect_Panonchus_Citri
Papilio xuthus,Insect_Papilio_Xuthus
parathrene regalis,Insect_Parathrene_Regalis
Parlatoria zizyphus Lucus,Insect_Parlatoria_Zizyphus
peach borer,Insect_Peach_Borer
penthaleus major,Insect_Penthaleus_Major
Phyllocnistis citrella Stainton,Insect_Phyllocnistis_Citrella
Phyllocoptes oleiverus ashmead,Insect_Phyllocoptes_Oleiverus
Pieris canidia,Insect_Pieris_Canidia
Polyphagotars onemus latus,Insect_Polyphagotars_Onemus_Latus
Potosiabre vitarsis,Insect_Potosiabre_Vitarsis
Prodenia litura,Insect_Prodenia_Litura
Pseudococcus comstocki Kuwana,Insect_Pseudococcus_Comstocki
red spider,Insect_Red_Spider
Rhytidodera bowrinii white,Insect_Rhytidodera_Bowrinii
rice gall midge,Insect_Rice_Gall_Midge
rice leaf caterpillar,Insect_Rice_Leaf_Caterpillar
rice leaf roller,Insect_Rice_Leaf_Roller
rice leafhopper,Insect_Rice_Leafhopper
rice shell pest,Insect_Rice_Shell_Pest
Rice Stemfly,Insect_Rice_Stemfly
rice water weevil,Insect_Rice_Water_Weevil
Salurnis marginella Guerr,Insect_Salurnis_Marginella
Scirtothrips dorsalis Hood,Insect_Scirtothrips_Dorsalis
sericaorient alismots chulsky,Insect_Sericaorient_Alismots
small brown plant hopper,Insect_Small_Brown_Plant_Hopper
Sternochetus frigidus,Insect_Sternochetus_Frigidus
tarnished plant bug,Insect_Tarnished_Plant_Bug
Tetradacus c Bactrocera minax,Insect_Tetradacus_Bactrocera_Minax
therioaphis maculata Buckton,Insect_Therioaphis_Maculata
Thrips,Insect_Thrips
Toxoptera aurantii,Insect_Toxoptera_Aurantii
Toxoptera citricidus,Insect_Toxoptera_Citricidus
Trialeurodes vaporariorum,Insect_Trialeurodes_Vaporariorum
Unaspis yanonensis,Insect_Unaspis_Yanonensis
Viteus vitifoliae,Insect_Viteus_Vitifoliae
wheat blossom midge,Insect_Wheat_Blossom_Midge
wheat phloeothrips,Insect_Wheat_Phloeothrips
wheat sawfly,Insect_Wheat_Sawfly
white backed plant hopper,Insect_White_Backed_Plant_Hopper
white margined moth,Insect_White_Margined_Moth
wireworm,Insect_Wireworm
Xylotrechus,Insect_Xylotrechus
yellow cutworm,Insect_Yellow_Cutworm
yellow rice borer,Insect_Yellow_Rice_Borer
