original_name,new_name
litchi (Litchi chinensis)Felt Leaf,Lychee_Felt_Leaf
litchi (Litchi chinensis)_ Leaf Spot,Lychee_Leaf_Spot
litchi (Litchi chinensis)_Anthrax Leaf,Lychee_Anthrax_Leaf
litchi (Litchi chinensis)_Bituminous Leaf,Lychee_Bituminous_Leaf
litchi (Litchi chinensis)_Curl Leaf,Lychee_Curl_Leaf
litchi (Litchi chinensis)_Deficiency Leaf,Lychee_Deficiency_Leaf
litchi (Litchi chinensis)_Dry Leaf,Lychee_Dry_Leaf
litchi (Litchi chinensis)_Healthy Leaf,Lychee_Healthy
litchi (Litchi chinensis)_Leaf Blight,Lychee_Leaf_Blight
litchi (Litchi chinensis)_Leaf Gall,Lychee_Leaf_Gall
