original_name,image_count,normalized_name
Grape_Black_Measles,1199,grape black measles
Cotton_fussarium_wilt,419,cotton fussarium wilt
Cotton_curl_virus,418,cotton curl virus
Cotton_bacterial_blight,448,cotton bacterial blight
Cotton_healthy,425,cotton healthy
Citrus_Black_spot,311,citrus black spot
Citrus_greening,1200,citrus greening
Corn_healthy,1200,corn healthy
Cherry_Healthy,1200,cherry healthy
Corn_Northern_Leaf_Blight,1200,corn northern leaf blight
Cherry_Powdery_mildew,1200,cherry powdery mildew
Citrus_canker,368,citrus canker
Corn_cercospora_gray_leaf_spot,1200,corn cercospora gray leaf spot
Citrus_Healthy,87,citrus healthy
Corn_Common_rust,1200,corn common rust
Alfalfa_Leaf_Mosaic_Virus,142,alfalfa leaf mosaic virus
Alluim_Leaf_Bacterial_Soft_Rot,26,alluim leaf bacterial soft rot
Alternaria black molds  stem cankers (Genus Alternaria Nees),67,alternaria black molds stem cankers (genus alternaria nees)
Alternaria_Leaf_Spot,64,alternaria leaf spot
Angular_Leaf_Spot_Cucumber,208,angular leaf spot cucumber
Anthracnose (Colletotrichum orbiculare (Berk. & Mo,121,anthracnose (colletotrichum orbiculare (berk. & mo
Apple_Scab,160,apple scab
Aspergillus ear and kernel rot (Aspergillus flavus Maize),96,aspergillus ear and kernel rot (aspergillus flavus maize)
Banana_Fruit_Anthracnose,97,banana fruit anthracnose
Banana_Leaf_Anthracnose,121,banana leaf anthracnose
Banana_Leaf_Black_Sigatoka,56,banana leaf black sigatoka
Banana_Leaf_Bunchy_Top_Virus,80,banana leaf bunchy top virus
Banana_Leaf_Streak_Virus,170,banana leaf streak virus
Banana_Leaf_Yellow_Sigatoka,103,banana leaf yellow sigatoka
Bean_Leaf_Bacterial_Blight,256,bean leaf bacterial blight
Bean_Leaf_Rust,160,bean leaf rust
Bell pepper_Fruit_Blossom_End_Rot,40,bell pepper fruit blossom end rot
Bread mold (Rhizopus stolonifer (Ehrenb.) Vuill.),42,bread mold (rhizopus stolonifer (ehrenb.) vuill.)
Broad mite (Polyphagotarsonemus latus (Banks)),24,broad mite (polyphagotarsonemus latus (banks))
Brown_Rot_Fruit,302,brown rot fruit
Cabbage_Leaf_Bacterial_Blight,80,cabbage leaf bacterial blight
Cabbage_Leaf_Bacterial_Soft_Rot,72,cabbage leaf bacterial soft rot
Carota_ Alternaria_Fruit_Spot,20,carota alternaria fruit spot
Carrot_Root_Fly,72,carrot root fly
Cereals_Leaf_Bacterial_Spot,40,cereals leaf bacterial spot
Cherry_Leaf_Spot,201,cherry leaf spot
Choanephora fruit rot (Choanephora cucurbitarum,112,choanephora fruit rot (choanephora cucurbitarum
Citrillus_Fruit_Blossom_End_Rot,32,citrillus fruit blossom end rot
Citrullus_Bacterial_Fruit_Blotch,112,citrullus bacterial fruit blotch
Citrullus_Bacterial_Leaf_Blotch,126,citrullus bacterial leaf blotch
Citrus_Canker,313,citrus canker
Citrus_Leaf_Greening,160,citrus leaf greening
Corn smut (Ustilago maydis),38,corn smut (ustilago maydis)
Corynespora leaf spot (Corynespora cassiicola,51,corynespora leaf spot (corynespora cassiicola
Cotton  bollworm (Helicoverpa armigera),26,cotton bollworm (helicoverpa armigera)
Cotton_Adult_Bollworm,45,cotton adult bollworm
Cotton_Larve_Bollworm,51,cotton larve bollworm
Crucifers_Xanthomonas_campestris_pv_campestris_Black_rot),112,crucifers xanthomonas campestris pv campestris black rot)
Cucurbit_Leaf_Downy_Mildew,175,cucurbit leaf downy mildew
Curculionoidea (Weevil),161,curculionoidea (weevil)
Damages_Fruit_Bollworm,73,damages fruit bollworm
Flower blights (Genus Choanephora Curr.),96,flower blights (genus choanephora curr.)
Fusarium_Cereal_Head_Blight,80,fusarium cereal head blight
Geotrichum_Rot_Cucurbitaceae_Fruit,160,geotrichum rot cucurbitaceae fruit
Grape_Leaf_Esca,320,grape leaf esca
Grape_Leaf_Leafroll_Virus,168,grape leaf leafroll virus
Hosta_Leaf_Virus_X,160,hosta leaf virus x
Late_Blight_Fruit,39,late blight fruit
Late_Blight_Leaf,320,late blight leaf
Leaf_Bacterial_Wilt,160,leaf bacterial wilt
Leaf_Curl_Virus,164,leaf curl virus
Leaf_Spurge_Flea_Beetle,32,leaf spurge flea beetle
Lettuce Chlorosis Virus (LCV) (Crinivirus Lettuce Chlorosis Virus),18,lettuce chlorosis virus (lcv) (crinivirus lettuce chlorosis virus)
Longhorn_Beetle,320,longhorn beetle
Loose smut of wheat or barley (Ustilago tritici (Pers.) Rostr.),22,loose smut of wheat or barley (ustilago tritici (pers.) rostr.)
Maize_Tar_Spot,295,maize tar spot
Mealybug,120,mealybug
Northern_Maize_Leaf_Blight,160,northern maize leaf blight
Penicillium fungi (Genus Penicillium Link),47,penicillium fungi (genus penicillium link)
Phytophthora_Blight_Cucurbitaceae,168,phytophthora blight cucurbitaceae
Potyvirus_Mosaic_Virus,35,potyvirus mosaic virus
Pythium diseases (Genus Pythium Pringsh.),105,pythium diseases (genus pythium pringsh.)
Red_Spider_Mite,135,red spider mite
Rhizopus soft rots (Genus Rhizopus Ehrenb.),37,rhizopus soft rots (genus rhizopus ehrenb.)
Sclerotinia sclerotiorum_Fruit_Rot,21,sclerotinia sclerotiorum fruit rot
Sclerotinia sclerotiorum_Leaf_Rot,56,sclerotinia sclerotiorum leaf rot
Sclerotinia sclerotiorum_Stem_Rot,122,sclerotinia sclerotiorum stem rot
Sclerotinia timber rot (Sclerotinia sclerotiorum),28,sclerotinia timber rot (sclerotinia sclerotiorum)
Solanaceae_Bacterial_Soft_Rot,72,solanaceae bacterial soft rot
Solanaceae_Bacterial_Spot,89,solanaceae bacterial spot
Southern red mite (Oligonychus ilicis),23,southern red mite (oligonychus ilicis)
Southern root-knot nematode,25,southern root knot nematode
Soybean_Leaf_Halo_Blight,142,soybean leaf halo blight
Soybean_Leaf_Mosaic_Virus,163,soybean leaf mosaic virus
Soybean_Leaf_Rust,174,soybean leaf rust
Soybean_Tospovirus_Leaf_Vein_Necrosis_Virus,28,soybean tospovirus leaf vein necrosis virus
Sphinx_Moth_Adult,143,sphinx moth adult
Sphinx_Moth_Larve_Damages,144,sphinx moth larve damages
Spider_Mite_Leaf_Damages,160,spider mite leaf damages
Spotted_Wilt_Virus,164,spotted wilt virus
Stem_Borer_Leaf_Damages,160,stem borer leaf damages
Sweet_Potato_Fruit_Feathery_Mottle_Virus,40,sweet potato fruit feathery mottle virus
Sweet_Potato_Leaf_Feathery_Mottle_Virus,48,sweet potato leaf feathery mottle virus
Target_Spot_Leaf,160,target spot leaf
Thrips_Leaf_Damages,320,thrips leaf damages
Tobacco_Leaf_Etch_Virus,148,tobacco leaf etch virus
Tobacco_Leaf_Ringspot_Virus,120,tobacco leaf ringspot virus
Tomato_Fruit_Bacterial_Canker,34,tomato fruit bacterial canker
Tomato_Fruit_Blossom_End_Rot,82,tomato fruit blossom end rot
Tomato_Leaf_Bacterial_Canker,134,tomato leaf bacterial canker
Tomato_Leaf_Mosaic_Virus,160,tomato leaf mosaic virus
Tomato_Leaf_Septoria,160,tomato leaf septoria
Twospotted spider mite (Tetranychus urticae Koch),52,twospotted spider mite (tetranychus urticae koch)
Wheat_Leaf_Streak_Mosaic_Virus,104,wheat leaf streak mosaic virus
Whiteflies_Leaf,320,whiteflies leaf
fall armyworm (Spodoptera frugiperda) Dammage,77,fall armyworm (spodoptera frugiperda) dammage
fall armyworm (Spodoptera frugiperda) Larve,71,fall armyworm (spodoptera frugiperda) larve
fall armyworm (Spodoptera frugiperda) Larve adults,39,fall armyworm (spodoptera frugiperda) larve adults
root rotdamping off (Genus Rhizoctonia DC.),28,root rotdamping off (genus rhizoctonia dc.)
root-knot nematode (Genus Meloidogyne),106,root knot nematode (genus meloidogyne)
rhododendron stem borer (Oberea myops,30,rhododendron stem borer (oberea myops
lesser cornstalk borer (Elasmopalpus lignosella),68,lesser cornstalk borer (elasmopalpus lignosella)
kudzu bug (Megacopta cribraria (Fabricius)),72,kudzu bug (megacopta cribraria (fabricius))
stem-boring weevil (Mecinus janthinus Germar),76,stem boring weevil (mecinus janthinus germar)
blast blé,3601,blast blé
healthy blé,3229,healthy blé
insect blé,1654,insect blé
leaf_folder blé,1332,leaf folder blé
scald blé,294,scald blé
stripes blé,1458,stripes blé
tungro blé,1415,tungro blé
Cauliflower_Healthy,934,cauliflower healthy
Pepper Bell Bacterial Spot,141,pepper bell bacterial spot
Pepper Bell Healthy,576,pepper bell healthy
Potato Early Blight,115,potato early blight
Potato Late Blight,518,potato late blight
Tomato Bacterial Spot,1714,tomato bacterial spot
Tomato Early Blight,1000,tomato early blight
Tomato Healthy,887,tomato healthy
Tomato Septoria Leaf Spot,1253,tomato septoria leaf spot
Tomato Target Spot,204,tomato target spot
Tomato Two Spotted Spider Mite,476,tomato two spotted spider mite
Tomato Yellow Leaf Curl Virus,2008,tomato yellow leaf curl virus
Aphids,240,aphids
healthy,38,healthy
Apple__Apple_scab (1),1000,apple apple scab
Apple__Black_rot (1),1000,apple black rot
Apple__Cedar_apple_rust (2),1000,apple cedar apple rust
Apple__healthy,453,apple healthy
Cashew_Anthracnose,1000,cashew anthracnose
Cashew_Gumosis,392,cashew gumosis
Cashew_Healthy,1000,cashew healthy
Cashew_Leaf_Miner,1000,cashew leaf miner
Cashew_Red_Rust,1000,cashew red rust
Cassava_Brown_Streak_Disease,1000,cassava brown streak disease
Cassava_Green_Mite,1000,cassava green mite
Cassava_Green_Mottle,1000,cassava green mottle
Cassava_Healthy,1000,cassava healthy
Cherry__healthy (1),1000,cherry healthy
Cherry__Powdery_mildew,273,cherry powdery mildew
Chili_Condition,985,chili condition
Chili_Curl_Virus,812,chili curl virus
Chili_Nutrition_Deficiency,791,chili nutrition deficiency
Citrus_Greening (1),1000,citrus greening
Corn_Cercospora_Leaf_Spot,836,corn cercospora leaf spot
Corn_Grasshopper,738,corn grasshopper
Corn_Healthy (1),462,corn healthy
Corn_Leaf_Beetle,948,corn leaf beetle
Corn_Leaf_Blight (1),997,corn leaf blight
Corn_Leaf_Spot,978,corn leaf spot
Corn_Streak_Virus,979,corn streak virus
Corn__Cercospora_leaf_spot_Gray_leaf_spot,1000,corn cercospora leaf spot gray leaf spot
Corn__Common_rust,466,corn common rust
Corn__healthy (2),1162,corn healthy
Corn__Northern_Leaf_Blight,198,corn northern leaf blight
Generic_Aphids,955,generic aphids
Generic_Armyworm,712,generic armyworm
Generic_Beet_Armyworm,962,generic beet armyworm
Generic_Black_Cutworm,512,generic black cutworm
Generic_Blister_Beetle,1000,generic blister beetle
Generic_Cabbage_Armyworm,513,generic cabbage armyworm
Generic_Flax_Budworm,639,generic flax budworm
Generic_Flea_Beetle,473,generic flea beetle
Generic_Legume_Blister_Beetle,845,generic legume blister beetle
Generic_Tarnished_Plant_Bug,492,generic tarnished plant bug
Generic_Thrips,527,generic thrips
Generic_Wireworm,532,generic wireworm
Grape__Black_rot,412,grape black rot
Grape__Esca_(Black_Measles),183,grape esca (black measles)
Grape__healthy (1),1000,grape healthy
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),1076,grape leaf blight (isariopsis leaf spot)
Orange__Haunglongbing_(Citrus_greening),5507,orange haunglongbing (citrus greening)
Apple__Rotten (1),614,apple rotten
Apple__scab,502,apple scab
Banana__Healthy (1),601,banana healthy
Banana__Rotten,625,banana rotten
Bellpepper__Healthy (1),478,bellpepper healthy
Carrot__Healthy (1),484,carrot healthy
Cassava__healthy,492,cassava healthy
Corn___Healthy (1),566,corn healthy
Corn__healthy (1),424,corn healthy
Cucumber__Rotten (1),491,cucumber rotten
Grape__black_rot (1),644,grape black rot
Jamun__diseased (1),345,jamun diseased
Mango__Rotten,584,mango rotten
Mango__healthy,739,mango healthy
Peach__bacterial_spot,608,peach bacterial spot
Pepper_bell__healthy,456,pepper bell healthy
Potato__Healthy (1),642,potato healthy
Potato___Early_blight (1),807,potato early blight
Rice__hispa (1),471,rice hispa
Soybean__diabrotica_speciosa,603,soybean diabrotica speciosa
Tea__red_leaf_spot,420,tea red leaf spot
Tomato__mosaic_virus (1),174,tomato mosaic virus
Wheat___Brown_Rust,539,wheat brown rust
Wheat___Yellow_Rust,546,wheat yellow rust
Apple__Healthy,1204,apple healthy
Apple__black_rot,489,apple black rot
Banana__Healthy,601,banana healthy
Bellpepper__Healthy,478,bellpepper healthy
Bellpepper__Rotten,482,bellpepper rotten
Carrot__Healthy,484,carrot healthy
Carrot__Rotten,450,carrot rotten
Cassava__mosaic_disease,430,cassava mosaic disease
Cherry__powdery_mildew,554,cherry powdery mildew
Coffee__healthy,414,coffee healthy
Coffee__rust,411,coffee rust
Corn___Common_Rust,553,corn common rust
Corn___Gray_Leaf_Spot,453,corn gray leaf spot
Corn___Healthy,566,corn healthy
Corn___Northern_Leaf_Blight,552,corn northern leaf blight
Corn__common_rust,458,corn common rust
Corn__gray_leaf_spot,309,corn gray leaf spot
Corn__healthy,424,corn healthy
Corn__northern_leaf_blight,428,corn northern leaf blight
Cucumber__Rotten,491,cucumber rotten
Cucumber__healthy,821,cucumber healthy
Grape__black_measles,576,grape black measles
Grape__black_rot,644,grape black rot
Grape__healthy,637,grape healthy
Lemon__healthy,159,lemon healthy
Orange__Rotten,601,orange rotten
Pepper__bell___Bacterial_spot,557,pepper bell bacterial spot
Pepper__bell___healthy,594,pepper bell healthy
Pomegranate__Healthy,487,pomegranate healthy
Potato__Healthy,642,potato healthy
Potato__Rotten,466,potato rotten
Potato___Early_blight,807,potato early blight
Potato___Late_Blight,793,potato late blight
Rice___Brown_Spot,486,rice brown spot
Rice___Healthy,575,rice healthy
Rice___Leaf_Blast,552,rice leaf blast
Rice___Neck_Blast,553,rice neck blast
Rice__healthy,464,rice healthy
Rice__hispa,471,rice hispa
Soybean__mosaic_virus,22,soybean mosaic virus
Soybean__powdery_mildew,77,soybean powdery mildew
Strawberry__Rotten,564,strawberry rotten
Strawberry___leaf_scorch,563,strawberry leaf scorch
Strawberry__healthy (2),988,strawberry healthy
Tea__brown_blight,339,tea brown blight
Tomato_Early_blight,547,tomato early blight
Tomato_Late_blight,593,tomato late blight
Tomato_Spider_mites_Two_spotted_spider_mite,589,tomato spider mites two spotted spider mite
Tomato__Rotten,488,tomato rotten
Tomato__Tomato_YellowLeaf__Curl_Virus,617,tomato tomato yellowleaf curl virus
Tomato__bacterial_spot,521,tomato bacterial spot
Tomato__healthy,1060,tomato healthy
Tomato__mosaic_virus,174,tomato mosaic virus
Tomato__septoria_leaf_spot,494,tomato septoria leaf spot
Tomato__target_spot,909,tomato target spot
Tomato_healthy,479,tomato healthy
Wheat__brown_rust,402,wheat brown rust
RedRot,518,redrot
Cassava_healthy,691,cassava healthy
Apple__Cedar_apple_rust (1),467,apple cedar apple rust
Tomato_septoria leaf spot (1),2342,tomato septoria leaf spot
Sugar_Yellow,505,sugar yellow
Tomato___Leaf_Mold,400,tomato leaf mold
Curcuma longa_Dry Leaf,812,curcuma longa dry leaf
Curcuma longa_Rhizome Healthy Root,846,curcuma longa rhizome healthy root
Curcuma longa_Healthy Leaf,985,curcuma longa healthy leaf
Curcuma longa_Leaf Blotch,995,curcuma longa leaf blotch
Curcuma longa_Rhizome Disease Root,910,curcuma longa rhizome disease root
Rose Leaf Holes,683,rose leaf holes
Niphad Grape_Powdery Mildew,406,niphad grape powdery mildew
Rose_Healthy Leaf,818,rose healthy leaf
Cashew_gumosis,427,cashew gumosis
Rose Leaf_Black Spot,1288,rose leaf black spot
Niphad Grape_Downey Mildew,966,niphad grape downey mildew
Cashew_anthracnose,988,cashew anthracnose
Niphad Grape_Healthy Leaves,1254,niphad grape healthy leaves
Cashew_leaf miner,990,cashew leaf miner
Cashew_healthy,1442,cashew healthy
Cashew_red rust,1313,cashew red rust
Cassava Brown Spot,946,cassava brown spot
Cassava Green Mite,853,cassava green mite
Maize Grasshopper,597,maize grasshopper
Maize leaf beetle,947,maize leaf beetle
Maize_leaf spot,857,maize leaf spot
Maize_streak virus,1009,maize streak virus
Maize_leaf blight,1005,maize leaf blight
Cassava Bacterial Blight,2363,cassava bacterial blight
Tomato_leaf blight,632,tomato leaf blight
Apple__Black_rot,205,apple black rot
Tomato_septoria leaf spot,2342,tomato septoria leaf spot
Apple black_spot,469,apple black spot
Apple Brown_spot,1060,apple brown spot
Apple Normal,824,apple normal
Apricot Normal,652,apricot normal
Apricot shot_hole,832,apricot shot hole
Bean bean rust image,500,bean bean rust image
Bean Fungal_leaf disease,776,bean fungal leaf disease
Bean Normal leaf,900,bean normal leaf
Cherry brown_spot,968,cherry brown spot
Cherry Leaf Scorch,1101,cherry leaf scorch
Cherry Normal leaf,500,cherry normal leaf
Cherry purple leaf spot,987,cherry purple leaf spot
Cherry_shot hole disease,440,cherry shot hole disease
